工廠,儲存地點代號,地點描述(中),地址(中),地址(英),地點描述(英),更新資訊
GTM1,2245,紙箱線邊5-保稅,台中市大甲區順帆路19號-各裝配線紙箱區,"19, ShunFarn Rd, Dajia District",Carton 5-GB,Allen Zou 鄧芳筆 -2024/03/35
GTM1,2246,紙箱線邊6-保稅,台中市大甲區順帆路19號-各裝配線輔材區,"19, ShunFarn Rd, Dajia District",Carton 6-GB,Allen Zou 鄧芳筆 -2024/03/36
GTM1,2280,半成品樣品倉-保稅,台中市大甲區順帆路19號-各倉樣品區 久鼎:台中市大甲區青年路137號,"19, ShunFarn Rd, Dajia District",Semi Product-SB,Allen Zou 鄧芳筆 -2024/03/37
GTM1,2281,車架料樣品倉-保稅,台中市大甲區順帆路19號-各倉樣品區 久鼎:台中市大甲區青年路137號,"19, ShunFarn Rd, Dajia District",Frame parts-SB,Allen Zou 鄧芳筆 -2024/03/38
GTM1,2290,半成品客製倉-保稅,台中市大甲區順帆路19號-各倉客製區,"19, ShunFarn Rd, Dajia District",Semi product-CB,Allen Zou 鄧芳筆 -2024/03/39
GTM1,2310,成品暫存倉-保稅,台中市大甲區順帆路19號-外銷成品區,"19, ShunFarn Rd, Dajia District",Bike working area-GB,Allen Zou 鄧芳筆 -2024/03/40
GTM9,2310,成品暫存倉-保稅,,,Bike working area-GB,Allen Zou 鄧芳筆 -2024/03/41
GTM1,2320,成品自動倉-保稅,台中市大甲區順帆路19號-自動倉,"19, ShunFarn Rd, Dajia District",Bike auto area-GB,Allen Zou 鄧芳筆 -2024/03/42
GTM1,2330,成品人工倉-保稅,,,Bike artificial area-GB,Allen Zou 鄧芳筆 -2024/03/43
GTM1,2350,售服倉-保稅,台中市大甲區順帆路19號-外銷售服區,"19, ShunFarn Rd, Dajia District",Afterservice-GB,Allen Zou 鄧芳筆 -2024/03/44
GTM1,2360,退貨倉-保稅,台中市大甲區順帆路19號-南倉2F退貨區&鋼圈退貨區&內銷退貨區,"19, ShunFarn Rd, Dajia District",,Allen Zou 鄧芳筆 -2024/03/45
GTM9,2360,退貨倉-保稅,,,Returned-GB,Allen Zou 鄧芳筆 -2024/03/46
GTM1,2380,成品樣品倉-保稅,台中市大甲區順帆路19號-外銷樣品區,"19, ShunFarn Rd, Dajia District",Sample bike-GB,Allen Zou 鄧芳筆 -2024/03/47
GTM1,2390,成品客製倉-保稅,台中市大甲區順帆路19號-外銷客製區,"19, ShunFarn Rd, Dajia District",Customized bike-GB,Allen Zou 鄧芳筆 -2024/03/48
